Sample,ecc,N,gammaG,Esoil,Econc,Dbot,H1,H2,H3,Mr_t,Mt_t,Mr_c,Mt_c
1,0,2484.45731,0.9852,53.35714,33100.78741,22.69187,1.01748,1.06402,1.49867,0.1337294357,0.0865704563,0.1337294357,0.0865704563
2,12.05251,2484.45731,0.9852,53.35714,33100.78741,22.69187,1.01748,1.06402,1.49867,-1.2316194011,-0.4091070772,1.5806525651,0.9933891159
3,17.22569,2484.45731,0.9852,53.35714,33100.78741,22.69187,1.01748,1.06402,1.49867,-1.7980734928,-0.7096407316,2.1970339843,1.2987502272
4,23.86851,2484.45731,0.9852,53.35714,33100.78741,22.69187,1.01748,1.06402,1.49867,-2.5184785433,-1.12178887,2.9754947286,1.6862314036
5,0,2464.3717,1.03556,93.10015,35409.90671,22.27972,1.13818,1.01188,0.85739,0.1019519181,0.0709061698,0.1019519181,0.0709061698
6,10.51368,2464.3717,1.03556,93.10015,35409.90671,22.27972,1.13818,1.01188,0.85739,-0.7648850945,-0.271208534,1.6740931301,0.9194073443
7,18.22279,2464.3717,1.03556,93.10015,35409.90671,22.27972,1.13818,1.01188,0.85739,-1.8013059924,-0.7214858608,2.4260149471,1.3619168018
8,22.67475,2464.3717,1.03556,93.10015,35409.90671,22.27972,1.13818,1.01188,0.85739,-2.2954301427,-0.9909696935,2.9154410642,1.6149690252
9,0,2839.36722,1.07018,62.25035,35746.45761,19.14994,1.16398,1.0296,0.8598,0.0858904171,0.0608756946,0.0858904171,0.0608756946
10,13.70522,2839.36722,1.07018,62.25035,35746.45761,19.14994,1.16398,1.0296,0.8598,-1.1306402771,-0.5332368979,1.9697485698,1.2057572807
11,17.51171,2839.36722,1.07018,62.25035,35746.45761,19.14994,1.16398,1.0296,0.8598,-1.6145206715,-0.7751464193,2.4576659776,1.4528727236
12,22.4344,2839.36722,1.07018,62.25035,35746.45761,19.14994,1.16398,1.0296,0.8598,-2.1495689052,-1.0897997231,3.1368482372,1.7737442903
13,0,2840.31781,0.92757,115.32478,30638.81503,18.69918,0.96484,1.35496,1.11604,0.0861318966,0.0603503522,0.0861318966,0.0603503522
14,12.40039,2840.31781,0.92757,115.32478,30638.81503,18.69918,0.96484,1.35496,1.11604,-1.3522959453,-0.4704847464,2.1314654026,1.3013062318
15,16.26324,2840.31781,0.92757,115.32478,30638.81503,18.69918,0.96484,1.35496,1.11604,-1.7430816511,-0.7470387476,2.6167161483,1.5410036727
16,25.43463,2840.31781,0.92757,115.32478,30638.81503,18.69918,0.96484,1.35496,1.11604,-2.2307631957,-1.3137786425,4.012849908,2.134247515
17,0,2878.49645,0.92456,112.57211,35641.37045,19.73264,0.89749,1.61281,1.30532,0.1099038197,0.0777316097,0.1099038197,0.0777316097
18,14.95257,2878.49645,0.92456,112.57211,35641.37045,19.73264,0.89749,1.61281,1.30532,-1.2674325661,-0.7291727747,2.2180923022,1.3737351193
19,19.77647,2878.49645,0.92456,112.57211,35641.37045,19.73264,0.89749,1.61281,1.30532,-1.9149353813,-1.0667782146,2.8482397967,1.7129250008
20,24.8199,2878.49645,0.92456,112.57211,35641.37045,19.73264,0.89749,1.61281,1.30532,-2.5285318047,-1.4236513489,3.540039547,2.0693553404
21,0,4075.75669,1.08098,51.97785,31121.63827,21.08125,1.33352,1.57368,1.4314,0.1716166946,0.1284014092,0.1716166946,0.1284014092
22,14.99771,4075.75669,1.08098,51.97785,31121.63827,21.08125,1.33352,1.57368,1.4314,-2.51736412,-0.9274072212,3.7501970611,2.4659471454
23,19.72845,4075.75669,1.08098,51.97785,31121.63827,21.08125,1.33352,1.57368,1.4314,-3.3575423401,-1.3820615798,4.6532838645,2.9530248843
24,23.15347,4075.75669,1.08098,51.97785,31121.63827,21.08125,1.33352,1.57368,1.4314,-3.8632920283,-1.8008782991,5.3576205766,3.2869812257
25,0,4517.39749,0.95639,75.10352,33597.21129,18.2267,1.42983,1.49816,1.02333,0.1405925919,0.1087417521,0.1405925919,0.1087417521
26,10.16237,4517.39749,0.95639,75.10352,33597.21129,18.2267,1.42983,1.49816,1.02333,-1.1851059376,-0.6140911187,2.6215723521,1.5615861029
27,19.04104,4517.39749,0.95639,75.10352,33597.21129,18.2267,1.42983,1.49816,1.02333,-2.6001380236,-1.5692294975,4.6675436199,2.5289662139
28,24.03791,4517.39749,0.95639,75.10352,33597.21129,18.2267,1.42983,1.49816,1.02333,-3.0463516791,-2.1273936254,6.3607884912,3.0627002657
29,0,3002.52246,1.03148,53.16326,36854.55059,22.39177,1.48877,1.56663,1.03808,0.1637824688,0.1273963651,0.1637824688,0.1273963647
30,13.80104,3002.52246,1.03148,53.16326,36854.55059,22.39177,1.48877,1.56663,1.03808,-1.9234059288,-0.5434976562,2.1298371645,1.5597399432
31,19.4179,3002.52246,1.03148,53.16326,36854.55059,22.39177,1.48877,1.56663,1.03808,-2.6745041546,-0.9730393449,2.9875339484,1.9941849846
32,21.07754,3002.52246,1.03148,53.16326,36854.55059,22.39177,1.48877,1.56663,1.03808,-2.9022151109,-1.1004179683,3.2369546422,2.1224373698
33,0,2033.17531,1.02848,41.49607,31029.95531,20.23854,0.93713,1.48616,1.13802,0.1306976829,0.0923548191,0.1306976829,0.0923548191
34,13.38566,2033.17531,1.02848,41.49607,31029.95531,20.23854,0.93713,1.48616,1.13802,-1.1250152791,-0.3692291734,1.3332235346,0.9503960973
35,19.56863,2033.17531,1.02848,41.49607,31029.95531,20.23854,0.93713,1.48616,1.13802,-1.6644974854,-0.6697907048,1.9418799122,1.2573494556
36,24.22134,2033.17531,1.02848,41.49607,31029.95531,20.23854,0.93713,1.48616,1.13802,-2.0688153777,-0.8977926394,2.4039330242,1.4894505216
37,0,4758.8873,1.01863,57.4917,30098.88095,18.55712,1.50481,1.009,1.12122,0.1061061179,0.0784269217,0.1061061179,0.0784269217
38,14.88396,4758.8873,1.01863,57.4917,30098.88095,18.55712,1.50481,1.009,1.12122,-2.1147050754,-1.1064064876,3.8062257856,2.2584973706
39,18.73654,4758.8873,1.01863,57.4917,30098.88095,18.55712,1.50481,1.009,1.12122,-2.630137834,-1.5185882179,4.8145848921,2.6848725798
40,23.64522,4758.8873,1.01863,57.4917,30098.88095,18.55712,1.50481,1.009,1.12122,-3.1306258547,-2.0300801946,6.4215207466,3.2553099961
41,0,4551.24225,0.95318,101.55949,35154.54631,22.6675,1.38673,1.07017,1.56419,0.1721958484,0.1242432421,0.1721958484,0.1242432421
42,12.74628,4551.24225,0.95318,101.55949,35154.54631,22.6675,1.38673,1.07017,1.56419,-2.0513455634,-0.9298019197,3.2252850236,1.9495562371
