Sample,ecc,N,gammaG,Esoil,Econc,Dbot,H1,H2,H3,Mr_t,Mt_t,Mr_c,Mt_c
1,0,2300,0.9,35,33000,19,1.5,1.2,1,0.1087729515,0.0827594013,0.1087729515,0.0827594013
2,10,2300,0.9,35,33000,19,1.5,1.2,1,-0.9354135508,-0.2658988381,1.1433747412,0.8226032289
3,18,2300,0.9,35,33000,19,1.5,1.2,1,-1.681866777,-0.7087100176,2.0185849175,1.2621586279
4,26,2300,0.9,35,33000,19,1.5,1.2,1,-2.2131487601,-1.1384136491,2.9471259025,1.7067585167
5,0,3800,0.9,50,32000,21,1.3,1.1,1.1,0.0982563274,0.0703890298,0.0982563274,0.0703890298
6,10,3800,0.9,50,32000,21,1.3,1.1,1.1,-1.1949167803,-0.4945580164,1.9743014665,1.2919108556
7,18,3800,0.9,50,32000,21,1.3,1.1,1.1,-2.5319068773,-1.2122916255,3.4422849558,2.0239175933
8,26,3800,0.9,50,32000,21,1.3,1.1,1.1,-3.4204759252,-1.911199508,5.2289161949,2.7713629906
9,0,4100,0.9,65,31000,22,1.1,1.7,1.1,0.1353915377,0.1005330712,0.1353915377,0.1005330712
10,10,4100,0.9,65,31000,22,1.1,1.7,1.1,-1.4121970663,-0.5374238281,2.1852685551,1.5384336836
11,18,4100,0.9,65,31000,22,1.1,1.7,1.1,-2.9511995589,-1.3623640145,3.7976086227,2.3707599325
12,26,4100,0.9,65,31000,22,1.1,1.7,1.1,-4.1150038825,-2.1986995318,5.6613482251,3.2056032699
13,0,2600,0.9,55,33500,18.5,1,1.4,0.9,0.0815141111,0.058819433,0.0815141111,0.058819433
14,10,2600,0.9,55,33500,18.5,1,1.4,0.9,-0.7820436928,-0.3251787573,1.2637765427,0.8748866187
15,18,2600,0.9,55,33500,18.5,1,1.4,0.9,-1.6533964482,-0.8065063358,2.2427905912,1.3623980642
16,26,2600,0.9,55,33500,18.5,1,1.4,0.9,-2.1279737203,-1.2791585436,3.5225814763,1.8577701874
17,0,3000,0.9,45,34000,18,1.2,1.6,0.9,0.0925754313,0.0697648699,0.0925754313,0.0697648699
18,10,3000,0.9,45,34000,18,1.2,1.6,0.9,-1.032559072,-0.3824456068,1.5110330733,1.0397461701
19,18,3000,0.9,45,34000,18,1.2,1.6,0.9,-1.9215550223,-0.970233527,2.7519081804,1.6141738218
20,26,3000,0.9,45,34000,18,1.2,1.6,0.9,-2.4090462342,-1.524924906,4.2974287493,2.1979819379
21,0,2300,1.1,35,33000,19,1.5,1.2,1,0.1353872476,0.1030076141,0.1353872476,0.1030076141
22,10,2300,1.1,35,33000,19,1.5,1.2,1,-0.9151633197,-0.1980279974,1.2058381224,0.8916401326
23,18,2300,1.1,35,33000,19,1.5,1.2,1,-1.6821009994,-0.6302560396,2.0645903278,1.3328778006
24,26,2300,1.1,35,33000,19,1.5,1.2,1,-2.2939510421,-1.0613044721,2.9598836607,1.77899522
25,0,3800,1.1,50,32000,21,1.3,1.1,1.1,0.2188874553,0.1556976641,0.2188874553,0.1556976641
26,10,3800,1.1,50,32000,21,1.3,1.1,1.1,-1.2756241792,-0.3996700366,2.3927781112,1.4187972933
27,18,3800,1.1,50,32000,21,1.3,1.1,1.1,-2.5988097298,-1.1178667408,3.7910228486,2.1428027739
28,26,3800,1.1,50,32000,21,1.3,1.1,1.1,-3.5868914384,-1.8359642075,5.3386724699,2.8699919835
29,0,4100,1.1,65,31000,22,1.1,1.7,1.1,0.1674193253,0.1243169574,0.1674193253,0.1243169574
30,10,4100,1.1,65,31000,22,1.1,1.7,1.1,-1.6335559329,-0.4250639438,2.193685087,1.6558262237
31,18,4100,1.1,65,31000,22,1.1,1.7,1.1,-3.1135814895,-1.2501971491,3.8341649496,2.4884864195
32,26,4100,1.1,65,31000,22,1.1,1.7,1.1,-4.3661512958,-2.1226215858,5.6154073209,3.3119757481
33,0,2600,1.1,55,33500,18.5,1,1.4,0.9,0.1008493278,0.0727757717,0.1008493278,0.0727757717
34,10,2600,1.1,55,33500,18.5,1,1.4,0.9,-1.0127306292,-0.2243282089,1.4491046324,1.0792479799
35,18,2600,1.1,55,33500,18.5,1,1.4,0.9,-1.7897585925,-0.7411807802,2.3894401982,1.5400401114
36,26,2600,1.1,55,33500,18.5,1,1.4,0.9,-2.2907012481,-1.2076762574,3.4946608657,2.0145976228
37,0,3000,1.1,45,34000,18,1.2,1.6,0.9,0.1141161487,0.0860077167,0.1141161487,0.0860077167
38,10,3000,1.1,45,34000,18,1.2,1.6,0.9,-1.0604827812,-0.2855592089,1.5900810797,1.2264893436
39,18,3000,1.1,45,34000,18,1.2,1.6,0.9,-2.0225184267,-0.8745254299,2.770868991,1.7787569492
40,26,3000,1.1,45,34000,18,1.2,1.6,0.9,-2.5686704828,-1.4415248372,4.134066856,2.3414993191
