Sample,ecc,N,gammaG,Esoil,Econc,Dbot,H1,H2,H3,Mr_t,Mt_t,Mr_c,Mt_c
1,0,2000,0.9,25,30000,17,0.8,1,0.8,0.0821004914,0.0556484142,0.0821004914,0.0556484142
2,10,2000,0.9,25,30000,17,0.8,1,0.8,-0.5970842178,-0.2334701897,1.1606478732,0.6050156247
3,18,2000,0.9,25,30000,17,0.8,1,0.8,-1.0941964342,-0.5661296668,1.9081881459,0.947769781
4,26,2000,0.9,25,30000,17,0.8,1,0.8,-1.416485458,-0.8650391282,2.8447058803,1.3105453343
5,0,2000,0.9,25,37000,17,0.8,1,0.8,0.079570208,0.0542127634,0.079570208,0.0542127634
6,10,2000,0.9,25,37000,17,0.8,1,0.8,-0.5979929374,-0.2334586346,1.158564094,0.6039841603
7,18,2000,0.9,25,37000,17,0.8,1,0.8,-1.0899199546,-0.5636598764,1.9112391104,0.9487038466
8,26,2000,0.9,25,37000,17,0.8,1,0.8,-1.4147972181,-0.86509723,2.850225624,1.3115681922
9,0,2000,0.9,75,30000,17,0.8,1,0.8,0.0643767735,0.0419633725,0.0643767735,0.0419633725
10,10,2000,0.9,75,30000,17,0.8,1,0.8,-0.5983892647,-0.2422602358,0.9619109161,0.5823220816
11,18,2000,0.9,75,30000,17,0.8,1,0.8,-1.0712338081,-0.5606186535,1.6970581747,0.9168537425
12,26,2000,0.9,75,30000,17,0.8,1,0.8,-1.3384576222,-0.8671442991,2.7416505264,1.270945759
13,0,2000,0.9,75,37000,17,0.8,1,0.8,0.0594786179,0.0387275288,0.0594786179,0.0387275288
14,10,2000,0.9,75,37000,17,0.8,1,0.8,-0.6203842962,-0.2443438834,0.9164149322,0.5786365722
15,18,2000,0.9,75,37000,17,0.8,1,0.8,-1.0690206716,-0.5613707987,1.6713118668,0.9152122796
16,26,2000,0.9,75,37000,17,0.8,1,0.8,-1.3295373919,-0.8657388105,2.7477594552,1.274386167
17,0,2000,1.1,25,30000,17,0.8,1,0.8,0.0342945722,0.021557888,0.0342945722,0.021557888
18,10,2000,1.1,25,30000,17,0.8,1,0.8,-0.5435112955,-0.2250573312,1.0646110475,0.6015861907
19,18,2000,1.1,25,30000,17,0.8,1,0.8,-1.1368862564,-0.5557451116,1.7923310376,0.9469135114
20,26,2000,1.1,25,30000,17,0.8,1,0.8,-1.4519915153,-0.8571232941,2.7329346942,1.3102700089
21,0,2000,1.1,25,37000,17,0.8,1,0.8,0.0244144575,0.0140799234,0.0244144575,0.0140799234
22,10,2000,1.1,25,37000,17,0.8,1,0.8,-0.5495566738,-0.222874045,1.005693886,0.6056641674
23,18,2000,1.1,25,37000,17,0.8,1,0.8,-1.1494879903,-0.5555384944,1.7463590045,0.9521496117
24,26,2000,1.1,25,37000,17,0.8,1,0.8,-1.4518843443,-0.8567012716,2.7149605776,1.3176206487
25,0,2000,1.1,75,30000,17,0.8,1,0.8,0.0323432268,0.0203015429,0.0323432268,0.0203015429
26,10,2000,1.1,75,30000,17,0.8,1,0.8,-0.5448043606,-0.2290456029,0.9276068339,0.5858228687
27,18,2000,1.1,75,30000,17,0.8,1,0.8,-1.1437978563,-0.5565725174,1.6247698929,0.9179391184
28,26,2000,1.1,75,30000,17,0.8,1,0.8,-1.3868935654,-0.8581223917,2.6405482005,1.2722199861
29,0,2000,1.1,75,37000,17,0.8,1,0.8,0.0324030477,0.0203413039,0.0324030477,0.0203413039
30,10,2000,1.1,75,37000,17,0.8,1,0.8,-0.5454237017,-0.2286095537,0.9285386574,0.5871619227
31,18,2000,1.1,75,37000,17,0.8,1,0.8,-1.1443456603,-0.5565131948,1.6280074812,0.9202024789
32,26,2000,1.1,75,37000,17,0.8,1,0.8,-1.3840392195,-0.8574315982,2.6498771375,1.2756648854
33,0,5000,0.9,25,30000,17,0.8,1,0.8,0.0821004914,0.0556484142,0.0821004914,0.0556484142
34,10,5000,0.9,25,30000,17,0.8,1,0.8,-1.2208292355,-0.6290335517,2.8651885574,1.4932767292
35,18,5000,0.9,25,30000,17,0.8,1,0.8,-2.1559213364,-1.402416122,5.4733147681,2.4060890774
36,26,5000,0.9,25,30000,17,0.8,1,0.8,-3.1275094638,-2.1862915745,8.3024971212,3.3268842281
37,0,5000,0.9,25,37000,17,0.8,1,0.8,0.079570208,0.0542127634,0.079570208,0.0542127634
38,10,5000,0.9,25,37000,17,0.8,1,0.8,-1.226037354,-0.6287315685,2.8596787221,1.4972648738
